"index"	"date"	"open"	"closed"	"difference"
1	Dec 30 2022	1.0661	1.0661	0
2	Dec 29 2022	1.0629	1.0629	0
3	Dec 28 2022	1.0637	1.0637	0
4	Dec 27 2022	1.0640	1.0640	0
5	Dec 23 2022	1.0603	1.0603	0
6	Dec 22 2022	1.0610	1.0610	0
7	Dec 21 2022	1.0627	1.0627	0
8	Dec 20 2022	1.0615	1.0615	0
9	Dec 19 2022	1.0585	1.0585	0
10	Dec 16 2022	1.0641	1.0641	0
11	Dec 15 2022	1.0676	1.0676	0
12	Dec 14 2022	1.0627	1.0627	0
13	Dec 13 2022	1.0542	1.0542	0
14	Dec 12 2022	1.0522	1.0522	0
15	Dec 09 2022	1.0560	1.0560	0
16	Dec 08 2022	1.0513	1.0513	0
17	Dec 07 2022	1.0469	1.0469	0
18	Dec 06 2022	1.0497	1.0497	0
19	Dec 05 2022	1.0544	1.0544	0
20	Dec 02 2022	1.0528	1.0528	0
21	Dec 01 2022	1.0425	1.0425	0
22	Nov 30 2022	1.0324	1.0324	0
23	Nov 29 2022	1.0346	1.0346	0
24	Nov 28 2022	1.0368	1.0368	0
25	Nov 25 2022	1.0408	1.0408	0
26	Nov 23 2022	1.0311	1.0311	0
27	Nov 22 2022	1.0246	1.0246	0
28	Nov 21 2022	1.0331	1.0331	0
29	Nov 18 2022	1.0362	1.0362	0
30	Nov 17 2022	1.0395	1.0395	0
31	Nov 16 2022	1.0358	1.0358	0
32	Nov 15 2022	1.0319	1.0319	0
33	Nov 14 2022	1.0329	1.0329	0
34	Nov 11 2022	1.0192	1.0192	0
35	Nov 10 2022	1.0020	1.0020	0
36	Nov 09 2022	1.0081	1.0081	0
37	Nov 08 2022	1.0019	1.0019	0
38	Nov 07 2022	0.9929	0.9929	0
39	Nov 03 2022	0.9814	0.9814	0
40	Nov 02 2022	0.9878	0.9878	0
41	Nov 01 2022	0.9886	0.9886	0
42	Oct 31 2022	0.9955	0.9955	0
43	Oct 27 2022	0.9968	0.9968	0
44	Oct 26 2022	1.0092	1.0092	0
45	Oct 25 2022	0.9964	0.9964	0
46	Oct 24 2022	0.9887	0.9887	0
47	Oct 20 2022	0.9779	0.9779	0
48	Oct 19 2022	0.9766	0.9766	0
49	Oct 18 2022	0.9864	0.9864	0
50	Oct 17 2022	0.9846	0.9846	0
51	Oct 13 2022	0.9751	0.9751	0
52	Oct 12 2022	0.9708	0.9708	0
53	Oct 11 2022	0.9700	0.9700	0
54	Oct 10 2022	0.9710	0.9710	0
55	Oct 06 2022	0.9789	0.9789	0
56	Oct 05 2022	0.9911	0.9911	0
57	Oct 04 2022	0.9984	0.9984	0
58	Oct 03 2022	0.9832	0.9832	0
59	Sep 29 2022	0.9830	0.9830	0
