"index"	"date"	"open"	"closed"	"difference"
1	Dec 30 2022	1817.00	1819.70	-2.7
2	Dec 29 2022	1805.80	1819.50	-13.7
3	Dec 28 2022	1803.20	1807.90	-4.7
4	Dec 27 2022	1803.40	1814.80	-11.4
5	Dec 23 2022	1794.30	1795.90	-1.6
6	Dec 22 2022	1818.10	1787.00	31.1
7	Dec 21 2022	1817.40	1815.90	1.5
8	Dec 20 2022	1786.50	1815.90	-29.4
9	Dec 19 2022	1791.60	1787.70	3.9
10	Dec 16 2022	1777.90	1790.00	-12.1
11	Dec 15 2022	1801.00	1777.20	23.8
12	Dec 14 2022	1810.80	1807.50	3.3
13	Dec 13 2022	1780.70	1813.90	-33.2
14	Dec 12 2022	1787.30	1780.50	6.8
15	Dec 09 2022	1794.90	1798.10	-3.2
16	Dec 08 2022	1782.00	1788.70	-6.7
17	Dec 07 2022	1769.30	1785.50	-16.2
18	Dec 06 2022	1768.60	1769.30	-0.7
19	Dec 05 2022	1795.70	1767.40	28.3
20	Dec 02 2022	1802.00	1795.90	6.1
21	Dec 01 2022	1768.70	1801.10	-32.4
22	Nov 30 2022	1748.10	1746.00	2.1
23	Nov 29 2022	1739.50	1748.40	-8.9
24	Nov 28 2022	1741.30	1740.10	1.2
25	Nov 25 2022	1753.00	1753.30	-0.3
26	Nov 23 2022	1736.50	1744.90	-8.4
27	Nov 22 2022	1741.70	1738.30	3.4
28	Nov 21 2022	1739.00	1737.40	1.6
29	Nov 18 2022	1763.30	1751.90	11.4
30	Nov 17 2022	1763.00	1760.80	2.2
31	Nov 16 2022	1776.60	1773.00	3.6
32	Nov 15 2022	1770.80	1773.80	-3
33	Nov 14 2022	1762.00	1773.60	-11.6
34	Nov 11 2022	1763.80	1766.00	-2.2
35	Nov 10 2022	1708.20	1750.30	-42.1
36	Nov 09 2022	1707.40	1710.10	-2.7
37	Nov 08 2022	1703.20	1712.10	-8.9
38	Nov 07 2022	1676.90	1676.50	0.4
39	Nov 03 2022	1630.20	1672.50	-42.3
40	Nov 02 2022	1629.20	1627.30	1.9
41	Nov 01 2022	1650.80	1645.70	5.1
42	Oct 31 2022	1630.80	1645.00	-14.2
43	Oct 27 2022	1661.00	1639.60	21.4
44	Oct 26 2022	1660.70	1660.70	0
45	Oct 25 2022	1649.80	1664.00	-14.2
46	Oct 24 2022	1648.20	1652.80	-4.6
47	Oct 20 2022	1634.10	1651.00	-16.9
48	Oct 19 2022	1622.80	1630.80	-8
49	Oct 18 2022	1637.50	1627.50	10
50	Oct 17 2022	1651.40	1649.00	2.4
51	Oct 13 2022	1665.30	1641.70	23.6
52	Oct 12 2022	1675.20	1670.00	5.2
53	Oct 11 2022	1668.00	1670.30	-2.3
54	Oct 10 2022	1661.80	1678.70	-16.9
55	Oct 06 2022	1710.10	1700.50	9.6
56	Oct 05 2022	1721.00	1711.70	9.3
57	Oct 04 2022	1724.10	1711.40	12.7
58	Oct 03 2022	1701.20	1721.10	-19.9
59	Sep 29 2022	1661.70	1662.40	-0.7
