"index"	"date"	"open"	"closed"	"difference"
1	Dec 30 2022	3829.06	3839.50	-10.44
2	Dec 29 2022	3805.45	3849.28	-43.83
3	Dec 28 2022	3829.56	3783.22	46.34
4	Dec 27 2022	3843.34	3829.25	14.09
5	Dec 23 2022	3815.11	3844.82	-29.71
6	Dec 22 2022	3853.26	3822.39	30.87
7	Dec 21 2022	3839.49	3878.44	-38.95
8	Dec 20 2022	3810.47	3821.62	-11.15
9	Dec 19 2022	3853.79	3817.66	36.13
10	Dec 16 2022	3890.91	3852.36	38.55
11	Dec 15 2022	3958.37	3895.75	62.62
12	Dec 14 2022	4015.54	3995.32	20.22
13	Dec 13 2022	4069.38	4019.65	49.73
14	Dec 12 2022	3939.29	3990.56	-51.27
15	Dec 09 2022	3954.17	3934.38	19.79
16	Dec 08 2022	3947.79	3963.51	-15.72
17	Dec 07 2022	3933.28	3933.92	-0.64
18	Dec 06 2022	3996.63	3941.26	55.37
19	Dec 05 2022	4052.02	3998.84	53.18
20	Dec 02 2022	4040.17	4071.70	-31.53
21	Dec 01 2022	4087.14	4076.57	10.57
22	Nov 30 2022	3957.18	4080.11	-122.93
23	Nov 29 2022	3964.19	3957.63	6.56
24	Nov 28 2022	4005.36	3963.94	41.42
25	Nov 25 2022	4023.34	4026.12	-2.78
26	Nov 23 2022	4000.30	4027.26	-26.96
27	Nov 22 2022	3965.51	4003.58	-38.07
28	Nov 21 2022	3956.23	3949.94	6.29
29	Nov 18 2022	3966.39	3965.34	1.05
30	Nov 17 2022	3919.26	3946.56	-27.3
31	Nov 16 2022	3976.82	3958.79	18.03
32	Nov 15 2022	4006.41	3991.73	14.68
33	Nov 14 2022	3977.97	3957.25	20.72
34	Nov 11 2022	3963.72	3992.93	-29.21
35	Nov 10 2022	3859.89	3956.37	-96.48
36	Nov 09 2022	3810.94	3748.57	62.37
37	Nov 08 2022	3817.02	3828.11	-11.09
38	Nov 07 2022	3780.71	3806.80	-26.09
39	Nov 03 2022	3733.25	3719.89	13.36
40	Nov 02 2022	3852.90	3759.69	93.21
41	Nov 01 2022	3901.79	3856.10	45.69
42	Oct 31 2022	3881.85	3871.98	9.87
43	Oct 27 2022	3834.69	3807.30	27.39
44	Oct 26 2022	3825.97	3830.60	-4.63
45	Oct 25 2022	3799.44	3859.11	-59.67
46	Oct 24 2022	3762.01	3797.34	-35.33
47	Oct 20 2022	3689.05	3665.78	23.27
48	Oct 19 2022	3703.11	3695.16	7.95
49	Oct 18 2022	3746.26	3719.98	26.28
50	Oct 17 2022	3638.65	3677.95	-39.3
51	Oct 13 2022	3520.37	3669.91	-149.54
52	Oct 12 2022	3590.83	3577.03	13.8
53	Oct 11 2022	3595.86	3588.84	7.02
54	Oct 10 2022	3647.51	3612.39	35.12
55	Oct 06 2022	3771.97	3744.52	27.45
56	Oct 05 2022	3753.25	3783.28	-30.03
57	Oct 04 2022	3726.46	3790.93	-64.47
58	Oct 03 2022	3609.78	3678.43	-68.65
59	Sep 29 2022	3687.01	3640.47	46.54
60	Sep 28 2022	3651.94	3719.04	-67.1
61	Sep 27 2022	3686.44	3647.29	39.15
62	Sep 26 2022	3682.72	3655.04	27.68
63	Sep 22 2022	3782.36	3757.99	24.37
64	Sep 21 2022	3871.40	3789.93	81.47
65	Sep 20 2022	3875.23	3855.93	19.3
66	Sep 19 2022	3849.91	3899.89	-49.98
67	Sep 15 2022	3932.41	3901.35	31.06
68	Sep 14 2022	3940.73	3946.01	-5.28
69	Sep 13 2022	4037.12	3932.69	104.43
